,danceability,energy,loudness,speechiness,instrumentalness,valence,tempo,acousticness,key,mode,time_signature,liveness,type,id,uri,track_href,analysis_url,duration_ms
37,0.305,0.0536,-18.215,0.0501,0.0136,0.294,166.222,0.994,8,1,3,0.403,audio_features,2WRYbId2ZeaRvytazsQ6Vh,spotify:track:2WRYbId2ZeaRvytazsQ6Vh,https://api.spotify.com/v1/tracks/2WRYbId2ZeaRvytazsQ6Vh,https://api.spotify.com/v1/audio-analysis/2WRYbId2ZeaRvytazsQ6Vh,138298.0
38,0.501,0.716,-4.661,0.0411,0,0.363,70.919,0.189,10,1,4,0.0606,audio_features,0MWxVd7Hk952psJoL249TT,spotify:track:0MWxVd7Hk952psJoL249TT,https://api.spotify.com/v1/tracks/0MWxVd7Hk952psJoL249TT,https://api.spotify.com/v1/audio-analysis/0MWxVd7Hk952psJoL249TT,203070.0
39,0.454,0.7,-6.222,0.0264,1.1e-06,0.0704,130.09,0.0649,7,1,4,0.115,audio_features,6qdpQ6jPiaCYE9Qw4nZVuD,spotify:track:6qdpQ6jPiaCYE9Qw4nZVuD,https://api.spotify.com/v1/tracks/6qdpQ6jPiaCYE9Qw4nZVuD,https://api.spotify.com/v1/audio-analysis/6qdpQ6jPiaCYE9Qw4nZVuD,241827.0
40,0.381,0.532,-7.842,0.0372,0,0.1,143.774,0.00318,2,1,4,0.098,audio_features,0VqMBJyeeRA4I6mSPO5uqZ,spotify:track:0VqMBJyeeRA4I6mSPO5uqZ,https://api.spotify.com/v1/tracks/0VqMBJyeeRA4I6mSPO5uqZ,https://api.spotify.com/v1/audio-analysis/0VqMBJyeeRA4I6mSPO5uqZ,302577.0
41,0.56,0.782,-6.669,0.045,0,0.646,150.886,0.0376,9,0,4,0.0944,audio_features,0hyP1FixDFPwp2BAmMntZd,spotify:track:0hyP1FixDFPwp2BAmMntZd,https://api.spotify.com/v1/tracks/0hyP1FixDFPwp2BAmMntZd,https://api.spotify.com/v1/audio-analysis/0hyP1FixDFPwp2BAmMntZd,182008.0
42,0.682,0.615,-5.953,0.046,0,0.502,80.056,0.478,7,1,4,0.157,audio_features,0jryNDjVMHRugXc6JXFQuG,spotify:track:0jryNDjVMHRugXc6JXFQuG,https://api.spotify.com/v1/tracks/0jryNDjVMHRugXc6JXFQuG,https://api.spotify.com/v1/audio-analysis/0jryNDjVMHRugXc6JXFQuG,173373.0
43,0.586,0.783,-3.684,0.026,0,0.483,95.932,0.0617,10,1,4,0.129,audio_features,6kpAhNL6CYs3NSbFs3tHwf,spotify:track:6kpAhNL6CYs3NSbFs3tHwf,https://api.spotify.com/v1/tracks/6kpAhNL6CYs3NSbFs3tHwf,https://api.spotify.com/v1/audio-analysis/6kpAhNL6CYs3NSbFs3tHwf,220000.0
44,0.345,0.482,-12.946,0.0448,0,0.481,68.384,0.0588,8,1,3,0.317,audio_features,2sZGeLC3p0vIBMWp4g2dxL,spotify:track:2sZGeLC3p0vIBMWp4g2dxL,https://api.spotify.com/v1/tracks/2sZGeLC3p0vIBMWp4g2dxL,https://api.spotify.com/v1/audio-analysis/2sZGeLC3p0vIBMWp4g2dxL,270093.0
45,0.583,0.752,-5.24,0.0352,0,0.402,93.983,0.0112,11,1,4,0.108,audio_features,17x1RzAOMVLuNnFqjdal2C,spotify:track:17x1RzAOMVLuNnFqjdal2C,https://api.spotify.com/v1/tracks/17x1RzAOMVLuNnFqjdal2C,https://api.spotify.com/v1/audio-analysis/17x1RzAOMVLuNnFqjdal2C,179120.0
46,0.359,0.614,-5.066,0.0293,0,0.135,147.858,0.0593,3,1,3,0.0867,audio_features,2UvrcTdxrrDGszXONI5G91,spotify:track:2UvrcTdxrrDGszXONI5G91,https://api.spotify.com/v1/tracks/2UvrcTdxrrDGszXONI5G91,https://api.spotify.com/v1/audio-analysis/2UvrcTdxrrDGszXONI5G91,275960.0
47,0.446,0.651,-6.383,0.0386,0,0.37,81.045,0.338,10,1,4,0.144,audio_features,0HGGx9fQ55LFw5QFIB5MKp,spotify:track:0HGGx9fQ55LFw5QFIB5MKp,https://api.spotify.com/v1/tracks/0HGGx9fQ55LFw5QFIB5MKp,https://api.spotify.com/v1/audio-analysis/0HGGx9fQ55LFw5QFIB5MKp,197947.0
48,0.259,0.466,-6.741,0.0331,0,0.106,81.922,0.0878,7,1,4,0.113,audio_features,3bGce0Swt1wEfOLZkCLFLI,spotify:track:3bGce0Swt1wEfOLZkCLFLI,https://api.spotify.com/v1/tracks/3bGce0Swt1wEfOLZkCLFLI,https://api.spotify.com/v1/audio-analysis/3bGce0Swt1wEfOLZkCLFLI,182971.0
49,0.528,0.709,-6.393,0.0392,0,0.423,141.962,0.367,10,1,4,0.153,audio_features,4vkeAHQBXmUTgMOfaT94CR,spotify:track:4vkeAHQBXmUTgMOfaT94CR,https://api.spotify.com/v1/tracks/4vkeAHQBXmUTgMOfaT94CR,https://api.spotify.com/v1/audio-analysis/4vkeAHQBXmUTgMOfaT94CR,205800.0
0,0.644,0.616,-4.203,0.044,0.00157,0.858,143.127,0.303,1,0,4,0.179,audio_features,0srol0G3R5VOxbuy9OmPIT,spotify:track:0srol0G3R5VOxbuy9OmPIT,https://api.spotify.com/v1/tracks/0srol0G3R5VOxbuy9OmPIT,https://api.spotify.com/v1/audio-analysis/0srol0G3R5VOxbuy9OmPIT,406878.0
1,0.538,0.716,-9.246,0.0694,0.0082,0.883,136.201,0.182,1,1,4,0.0839,audio_features,3aamU3GxfBN8d4muHH9gCT,spotify:track:3aamU3GxfBN8d4muHH9gCT,https://api.spotify.com/v1/tracks/3aamU3GxfBN8d4muHH9gCT,https://api.spotify.com/v1/audio-analysis/3aamU3GxfBN8d4muHH9gCT,480987.0
2,0.347,0.362,-14.461,0.061,1.39e-05,0.561,84.787,0.796,1,1,4,0.0945,audio_features,6kTSWZhZvCoL1nPfLYoeWA,spotify:track:6kTSWZhZvCoL1nPfLYoeWA,https://api.spotify.com/v1/tracks/6kTSWZhZvCoL1nPfLYoeWA,https://api.spotify.com/v1/audio-analysis/6kTSWZhZvCoL1nPfLYoeWA,921213.0
3,0.651,0.104,-14.638,0.0469,0.0,0.471,119.715,0.861,0,0,4,0.113,audio_features,05YAU6nlZn5AyIx9Os7j9I,spotify:track:05YAU6nlZn5AyIx9Os7j9I,https://api.spotify.com/v1/tracks/05YAU6nlZn5AyIx9Os7j9I,https://api.spotify.com/v1/audio-analysis/05YAU6nlZn5AyIx9Os7j9I,65500.0
4,0.356,0.576,-7.872,0.0515,0.0,0.52,97.194,0.483,2,0,4,0.0866,audio_features,4wNuDyad5QnN7NGzXCKcPf,spotify:track:4wNuDyad5QnN7NGzXCKcPf,https://api.spotify.com/v1/tracks/4wNuDyad5QnN7NGzXCKcPf,https://api.spotify.com/v1/audio-analysis/4wNuDyad5QnN7NGzXCKcPf,322543.0
5,0.411,0.633,-5.783,0.043,3.82e-05,0.597,162.41,0.682,3,0,4,0.337,audio_features,14IzegDk2c1YVgFgvgl6fl,spotify:track:14IzegDk2c1YVgFgvgl6fl,https://api.spotify.com/v1/tracks/14IzegDk2c1YVgFgvgl6fl,https://api.spotify.com/v1/audio-analysis/14IzegDk2c1YVgFgvgl6fl,452500.0
6,0.471,0.831,-1.852,0.0472,0.0022,0.549,88.599,0.63,10,1,4,0.126,audio_features,3hTpuagTA4JJVGg0JYqYcX,spotify:track:3hTpuagTA4JJVGg0JYqYcX,https://api.spotify.com/v1/tracks/3hTpuagTA4JJVGg0JYqYcX,https://api.spotify.com/v1/audio-analysis/3hTpuagTA4JJVGg0JYqYcX,709669.0
7,0.342,0.664,-8.232,0.0476,0.118,0.72,143.665,0.679,10,0,4,0.101,audio_features,0Pwnvr34rMk4tc5aHm2kPs,spotify:track:0Pwnvr34rMk4tc5aHm2kPs,https://api.spotify.com/v1/tracks/0Pwnvr34rMk4tc5aHm2kPs,https://api.spotify.com/v1/audio-analysis/0Pwnvr34rMk4tc5aHm2kPs,955351.0
8,0.353,0.143,-12.215,0.0368,0.0,0.203,76.353,0.897,10,1,4,0.109,audio_features,2Jr1N9Sk0k24a9V0hPq2aU,spotify:track:2Jr1N9Sk0k24a9V0hPq2aU,https://api.spotify.com/v1/tracks/2Jr1N9Sk0k24a9V0hPq2aU,https://api.spotify.com/v1/audio-analysis/2Jr1N9Sk0k24a9V0hPq2aU,375790.0
9,0.494,0.559,-11.799,0.043,5.85e-06,0.786,136.002,0.809,8,0,3,0.16,audio_features,0Gka7NfuF5JvWRDpPUCMMK,spotify:track:0Gka7NfuF5JvWRDpPUCMMK,https://api.spotify.com/v1/tracks/0Gka7NfuF5JvWRDpPUCMMK,https://api.spotify.com/v1/audio-analysis/0Gka7NfuF5JvWRDpPUCMMK,584093.0
10,0.404,0.373,-10.666,0.0304,0.118,0.54,142.57,0.937,11,1,4,0.124,audio_features,5fj8CXugOZdqZKrIQ2VXDs,spotify:track:5fj8CXugOZdqZKrIQ2VXDs,https://api.spotify.com/v1/tracks/5fj8CXugOZdqZKrIQ2VXDs,https://api.spotify.com/v1/audio-analysis/5fj8CXugOZdqZKrIQ2VXDs,348400.0
11,0.437,0.55,-10.836,0.0341,0.0,0.675,127.402,0.302,5,0,3,0.234,audio_features,0gAtMKd1KZzpAPp9NWg2VA,spotify:track:0gAtMKd1KZzpAPp9NWg2VA,https://api.spotify.com/v1/tracks/0gAtMKd1KZzpAPp9NWg2VA,https://api.spotify.com/v1/audio-analysis/0gAtMKd1KZzpAPp9NWg2VA,786680.0
12,0.617,0.429,-10.466,0.03,0.486,0.413,120.034,0.913,8,1,5,0.117,audio_features,7MH83JqT0FbTPXqDhI3A1Y,spotify:track:7MH83JqT0FbTPXqDhI3A1Y,https://api.spotify.com/v1/tracks/7MH83JqT0FbTPXqDhI3A1Y,https://api.spotify.com/v1/audio-analysis/7MH83JqT0FbTPXqDhI3A1Y,392000.0
13,0.612,0.266,-11.166,0.0472,0.0,0.487,179.814,0.866,10,1,4,0.202,audio_features,5je0uUi7KxPbY4MZtvuewJ,spotify:track:5je0uUi7KxPbY4MZtvuewJ,https://api.spotify.com/v1/tracks/5je0uUi7KxPbY4MZtvuewJ,https://api.spotify.com/v1/audio-analysis/5je0uUi7KxPbY4MZtvuewJ,181333.0
14,0.431,0.686,-6.493,0.0534,0.000208,0.796,83.751,0.336,6,0,4,0.112,audio_features,1staG6GHwZpSPEdgWe7lai,spotify:track:1staG6GHwZpSPEdgWe7lai,https://api.spotify.com/v1/tracks/1staG6GHwZpSPEdgWe7lai,https://api.spotify.com/v1/audio-analysis/1staG6GHwZpSPEdgWe7lai,800621.0
15,0.483,0.57,-8.091,0.0418,0.000674,0.826,101.063,0.658,10,0,4,0.281,audio_features,5S5U0KlP9EqXiQ4vcJq0pz,spotify:track:5S5U0KlP9EqXiQ4vcJq0pz,https://api.spotify.com/v1/tracks/5S5U0KlP9EqXiQ4vcJq0pz,https://api.spotify.com/v1/audio-analysis/5S5U0KlP9EqXiQ4vcJq0pz,700232.0
16,0.453,0.864,-3.645,0.0663,0.019,0.727,100.164,0.0718,3,1,4,0.131,audio_features,2cBRmH7nF1LUjqiQe0Dx87,spotify:track:2cBRmH7nF1LUjqiQe0Dx87,https://api.spotify.com/v1/tracks/2cBRmH7nF1LUjqiQe0Dx87,https://api.spotify.com/v1/audio-analysis/2cBRmH7nF1LUjqiQe0Dx87,531506.0
17,0.685,0.659,-8.047,0.0303,0.0312,0.59,140.015,0.736,7,1,3,0.348,audio_features,28lrR9vnEwcIZFpmz6GJ7e,spotify:track:28lrR9vnEwcIZFpmz6GJ7e,https://api.spotify.com/v1/tracks/28lrR9vnEwcIZFpmz6GJ7e,https://api.spotify.com/v1/audio-analysis/28lrR9vnEwcIZFpmz6GJ7e,354000.0
18,0.305,0.778,-4.899,0.0443,0.000183,0.711,94.5,0.17,5,0,4,0.0723,audio_features,5rUwWuvZY5STv11Ydv6nUJ,spotify:track:5rUwWuvZY5STv11Ydv6nUJ,https://api.spotify.com/v1/tracks/5rUwWuvZY5STv11Ydv6nUJ,https://api.spotify.com/v1/audio-analysis/5rUwWuvZY5STv11Ydv6nUJ,507757.0
19,0.569,0.412,-10.124,0.0348,0.0,0.203,130.008,0.834,11,0,4,0.0808,audio_features,0VTPABw72kZ4roflPgEaht,spotify:track:0VTPABw72kZ4roflPgEaht,https://api.spotify.com/v1/tracks/0VTPABw72kZ4roflPgEaht,https://api.spotify.com/v1/audio-analysis/0VTPABw72kZ4roflPgEaht,655384.0
20,0.622,0.473,-10.636,0.0245,0.254,0.139,103.939,0.837,8,1,4,0.116,audio_features,6aC0Yf1PZ08qzVAelEjkkt,spotify:track:6aC0Yf1PZ08qzVAelEjkkt,https://api.spotify.com/v1/tracks/6aC0Yf1PZ08qzVAelEjkkt,https://api.spotify.com/v1/audio-analysis/6aC0Yf1PZ08qzVAelEjkkt,602481.0
21,0.502,0.755,-8.048,0.0489,7.11e-05,0.898,117.705,0.359,9,0,4,0.101,audio_features,5K2glC1CBnvP7STNIZ5DX7,spotify:track:5K2glC1CBnvP7STNIZ5DX7,https://api.spotify.com/v1/tracks/5K2glC1CBnvP7STNIZ5DX7,https://api.spotify.com/v1/audio-analysis/5K2glC1CBnvP7STNIZ5DX7,739151.0
22,0.37,0.473,-8.257,0.0313,0.0147,0.487,141.256,0.884,3,1,4,0.281,audio_features,3Or8W89Wl1WsVeq6Jqf5sg,spotify:track:3Or8W89Wl1WsVeq6Jqf5sg,https://api.spotify.com/v1/tracks/3Or8W89Wl1WsVeq6Jqf5sg,https://api.spotify.com/v1/audio-analysis/3Or8W89Wl1WsVeq6Jqf5sg,321100.0
23,0.499,0.532,-11.597,0.0608,0.000292,0.705,106.024,0.526,3,1,4,0.203,audio_features,10bivrainImxS78hePu3x2,spotify:track:10bivrainImxS78hePu3x2,https://api.spotify.com/v1/tracks/10bivrainImxS78hePu3x2,https://api.spotify.com/v1/audio-analysis/10bivrainImxS78hePu3x2,756251.0
24,0.264,0.399,-6.384,0.0322,0.0,0.17,141.91,0.726,1,1,5,0.0952,audio_features,1avgSVa6ldQFVeYmpYldVI,spotify:track:1avgSVa6ldQFVeYmpYldVI,https://api.spotify.com/v1/tracks/1avgSVa6ldQFVeYmpYldVI,https://api.spotify.com/v1/audio-analysis/1avgSVa6ldQFVeYmpYldVI,645000.0
25,0.494,0.344,-12.939,0.0345,0.00143,0.504,87.816,0.811,8,1,4,0.121,audio_features,6aIWp61ZempVpeYor8sYN1,spotify:track:6aIWp61ZempVpeYor8sYN1,https://api.spotify.com/v1/tracks/6aIWp61ZempVpeYor8sYN1,https://api.spotify.com/v1/audio-analysis/6aIWp61ZempVpeYor8sYN1,622806.0
26,0.419,0.323,-12.639,0.0429,3.7e-05,0.639,127.328,0.768,2,1,3,0.163,audio_features,2YM2hHlTthtskYT5Uykf4t,spotify:track:2YM2hHlTthtskYT5Uykf4t,https://api.spotify.com/v1/tracks/2YM2hHlTthtskYT5Uykf4t,https://api.spotify.com/v1/audio-analysis/2YM2hHlTthtskYT5Uykf4t,393360.0
27,0.447,0.719,-5.543,0.0368,0.000151,0.566,133.447,0.531,4,1,4,0.19,audio_features,1YfYcZENMP5J8jq9RmEaxI,spotify:track:1YfYcZENMP5J8jq9RmEaxI,https://api.spotify.com/v1/tracks/1YfYcZENMP5J8jq9RmEaxI,https://api.spotify.com/v1/audio-analysis/1YfYcZENMP5J8jq9RmEaxI,953455.0
28,0.452,0.907,-2.524,0.0598,0.000265,0.39,81.579,0.787,8,1,4,0.104,audio_features,75o9jYbiq6k4tQlhA6CQ1W,spotify:track:75o9jYbiq6k4tQlhA6CQ1W,https://api.spotify.com/v1/tracks/75o9jYbiq6k4tQlhA6CQ1W,https://api.spotify.com/v1/audio-analysis/75o9jYbiq6k4tQlhA6CQ1W,387520.0
29,0.421,0.184,-11.388,0.044,0.000711,0.449,147.165,0.97,6,0,4,0.141,audio_features,6xObAbm4G8LAQwKXI0NrtG,spotify:track:6xObAbm4G8LAQwKXI0NrtG,https://api.spotify.com/v1/tracks/6xObAbm4G8LAQwKXI0NrtG,https://api.spotify.com/v1/audio-analysis/6xObAbm4G8LAQwKXI0NrtG,262505.0
30,0.464,0.596,-11.61,0.0474,0.0,0.631,89.387,0.0301,4,1,4,0.0659,audio_features,727dfWSVbTbbmCRLA89n7i,spotify:track:727dfWSVbTbbmCRLA89n7i,https://api.spotify.com/v1/tracks/727dfWSVbTbbmCRLA89n7i,https://api.spotify.com/v1/audio-analysis/727dfWSVbTbbmCRLA89n7i,526080.0
31,0.574,0.0971,-22.088,0.0916,0.0,0.256,117.978,0.947,3,1,3,0.121,audio_features,0U3hpRSpi3STSBauicTGFz,spotify:track:0U3hpRSpi3STSBauicTGFz,https://api.spotify.com/v1/tracks/0U3hpRSpi3STSBauicTGFz,https://api.spotify.com/v1/audio-analysis/0U3hpRSpi3STSBauicTGFz,284168.0
32,0.401,0.417,-12.736,0.0323,0.00392,0.744,146.367,0.893,5,0,4,0.348,audio_features,2DdCJSiaxkT0KEbu8sHgUz,spotify:track:2DdCJSiaxkT0KEbu8sHgUz,https://api.spotify.com/v1/tracks/2DdCJSiaxkT0KEbu8sHgUz,https://api.spotify.com/v1/audio-analysis/2DdCJSiaxkT0KEbu8sHgUz,495463.0
33,0.347,0.549,-5.699,0.0281,0.00104,0.472,97.036,0.804,10,1,4,0.133,audio_features,0bxIlaVv7LyG4KZFwZI2v3,spotify:track:0bxIlaVv7LyG4KZFwZI2v3,https://api.spotify.com/v1/tracks/0bxIlaVv7LyG4KZFwZI2v3,https://api.spotify.com/v1/audio-analysis/0bxIlaVv7LyG4KZFwZI2v3,744853.0
34,0.354,0.736,-7.147,0.0555,0.00391,0.792,88.983,0.497,3,0,4,0.105,audio_features,26pTCQYOEozCxfUUtv2vxF,spotify:track:26pTCQYOEozCxfUUtv2vxF,https://api.spotify.com/v1/tracks/26pTCQYOEozCxfUUtv2vxF,https://api.spotify.com/v1/audio-analysis/26pTCQYOEozCxfUUtv2vxF,741813.0
35,0.487,0.607,-9.125,0.449,0.0,0.362,137.701,0.603,0,1,5,0.117,audio_features,7FENBu5fiEkOrpdxafdL6a,spotify:track:7FENBu5fiEkOrpdxafdL6a,https://api.spotify.com/v1/tracks/7FENBu5fiEkOrpdxafdL6a,https://api.spotify.com/v1/audio-analysis/7FENBu5fiEkOrpdxafdL6a,185760.0
36,0.803,0.637,-6.42,0.0358,5.99e-05,0.849,119.999,0.366,1,0,4,0.0964,audio_features,78wJrWIaCIqSvdt8z4dQgO,spotify:track:78wJrWIaCIqSvdt8z4dQgO,https://api.spotify.com/v1/tracks/78wJrWIaCIqSvdt8z4dQgO,https://api.spotify.com/v1/audio-analysis/78wJrWIaCIqSvdt8z4dQgO,674200.0
37,0.368,0.588,-5.714,0.0366,5.98e-06,0.554,86.075,0.741,3,0,4,0.0883,audio_features,07ZBpFkFuYBgLtET1IKlEb,spotify:track:07ZBpFkFuYBgLtET1IKlEb,https://api.spotify.com/v1/tracks/07ZBpFkFuYBgLtET1IKlEb,https://api.spotify.com/v1/audio-analysis/07ZBpFkFuYBgLtET1IKlEb,884513.0
38,0.555,0.79,-5.423,0.0679,0.0,0.951,148.508,0.321,5,1,4,0.341,audio_features,7yITTVw0jgmixmC1AdxK4G,spotify:track:7yITTVw0jgmixmC1AdxK4G,https://api.spotify.com/v1/tracks/7yITTVw0jgmixmC1AdxK4G,https://api.spotify.com/v1/audio-analysis/7yITTVw0jgmixmC1AdxK4G,546489.0
39,0.691,0.68,-6.03,0.0268,0.0,0.559,107.985,0.595,8,1,4,0.0612,audio_features,2DoRP6S2cH05KlScQ5AQ5R,spotify:track:2DoRP6S2cH05KlScQ5AQ5R,https://api.spotify.com/v1/tracks/2DoRP6S2cH05KlScQ5AQ5R,https://api.spotify.com/v1/audio-analysis/2DoRP6S2cH05KlScQ5AQ5R,387947.0
40,0.455,0.49,-11.768,0.0323,0.00394,0.667,137.61,0.738,5,0,4,0.194,audio_features,52yooX8jYLv1gWAW7Ic8cu,spotify:track:52yooX8jYLv1gWAW7Ic8cu,https://api.spotify.com/v1/tracks/52yooX8jYLv1gWAW7Ic8cu,https://api.spotify.com/v1/audio-analysis/52yooX8jYLv1gWAW7Ic8cu,715419.0
41,0.311,0.438,-13.036,0.0464,1.48e-05,0.472,147.267,0.651,4,1,4,0.28,audio_features,7g5SJT9MvZvKbsVixlfWrO,spotify:track:7g5SJT9MvZvKbsVixlfWrO,https://api.spotify.com/v1/tracks/7g5SJT9MvZvKbsVixlfWrO,https://api.spotify.com/v1/audio-analysis/7g5SJT9MvZvKbsVixlfWrO,1843042.0
42,0.524,0.177,-16.789,0.0329,0.0,0.269,120.073,0.813,6,1,4,0.139,audio_features,5rmTxKEXjHs2NwUanOMFYU,spotify:track:5rmTxKEXjHs2NwUanOMFYU,https://api.spotify.com/v1/tracks/5rmTxKEXjHs2NwUanOMFYU,https://api.spotify.com/v1/audio-analysis/5rmTxKEXjHs2NwUanOMFYU,437000.0
43,0.692,0.937,-4.714,0.0773,0.0,0.951,101.984,0.182,1,0,4,0.191,audio_features,4ZBZKoRztCc5kVZQo3p4gl,spotify:track:4ZBZKoRztCc5kVZQo3p4gl,https://api.spotify.com/v1/tracks/4ZBZKoRztCc5kVZQo3p4gl,https://api.spotify.com/v1/audio-analysis/4ZBZKoRztCc5kVZQo3p4gl,292941.0
44,0.691,0.464,-14.778,0.0477,0.000104,0.815,123.683,0.534,10,1,4,0.208,audio_features,7hKzPPh92Fq8cqUgL7QplA,spotify:track:7hKzPPh92Fq8cqUgL7QplA,https://api.spotify.com/v1/tracks/7hKzPPh92Fq8cqUgL7QplA,https://api.spotify.com/v1/audio-analysis/7hKzPPh92Fq8cqUgL7QplA,914097.0
45,0.451,0.542,-6.683,0.0408,0.000725,0.366,92.248,0.773,10,0,4,0.268,audio_features,7iOzwK1GEOEdHRqx1lqceo,spotify:track:7iOzwK1GEOEdHRqx1lqceo,https://api.spotify.com/v1/tracks/7iOzwK1GEOEdHRqx1lqceo,https://api.spotify.com/v1/audio-analysis/7iOzwK1GEOEdHRqx1lqceo,756124.0
46,0.493,0.416,-14.589,0.0349,0.0598,0.582,138.652,0.887,0,0,4,0.171,audio_features,21JWZ0t4sKt5MjUkecz1cW,spotify:track:21JWZ0t4sKt5MjUkecz1cW,https://api.spotify.com/v1/tracks/21JWZ0t4sKt5MjUkecz1cW,https://api.spotify.com/v1/audio-analysis/21JWZ0t4sKt5MjUkecz1cW,796253.0
47,0.521,0.509,-13.119,0.0343,0.0,0.874,141.059,0.38,4,0,4,0.834,audio_features,3lPg4G6EjzBZKdz6PS2JTP,spotify:track:3lPg4G6EjzBZKdz6PS2JTP,https://api.spotify.com/v1/tracks/3lPg4G6EjzBZKdz6PS2JTP,https://api.spotify.com/v1/audio-analysis/3lPg4G6EjzBZKdz6PS2JTP,249704.0
48,0.434,0.709,-8.023,0.0528,0.0,0.932,91.647,0.024,5,1,4,0.201,audio_features,3O6FLLVJXGnwjrVXjeCzLm,spotify:track:3O6FLLVJXGnwjrVXjeCzLm,https://api.spotify.com/v1/tracks/3O6FLLVJXGnwjrVXjeCzLm,https://api.spotify.com/v1/audio-analysis/3O6FLLVJXGnwjrVXjeCzLm,450000.0
49,0.637,0.568,-15.115,0.0404,1.6e-05,0.934,142.561,0.614,9,0,4,0.102,audio_features,2dbVdxaUKIRABlMuATPLd6,spotify:track:2dbVdxaUKIRABlMuATPLd6,https://api.spotify.com/v1/tracks/2dbVdxaUKIRABlMuATPLd6,https://api.spotify.com/v1/audio-analysis/2dbVdxaUKIRABlMuATPLd6,536543.0
